,Neighbors Avg,Non Neighbors Avg
Albania,,4.46153846154
Austria,7.33333333333,4.08695652174
Belarus,1.5,4.70833333333
Belgium,4.66666666667,4.4347826087
Croatia,15.5,3.54166666667
Cyprus,24.0,3.68
Denmark,,4.46153846154
Estonia,,4.46153846154
Macedonia,,4.46153846154
Finland,,4.46153846154
France,4.0,4.5
Germany,4.4,4.47619047619
Greece,18.0,3.33333333333
Iceland,,4.46153846154
Ireland,,4.46153846154
Israel,,4.46153846154
Latvia,,4.46153846154
Lithuania,,4.46153846154
Malta,,4.46153846154
Netherlands,6.0,4.33333333333
Norway,9.5,4.04166666667
Poland,2.0,4.78260869565
Portugal,5.0,4.44
Romania,12.0,3.09090909091
Serbia,,4.46153846154
Slovenia,,4.46153846154
Spain,13.5,3.70833333333
Sweden,5.5,4.375
Switzerland,,4.46153846154
Ukraine,12.0,3.09090909091
UnitedKingdom,,4.46153846154
Bulgaria,11.0,3.91666666667
Hungary,2.75,4.77272727273
Moldova,12.0,3.83333333333
Armenia,0.0,4.64
CzechRepublic,,4.46153846154
Georgia,,4.46153846154
Montenegro,,4.46153846154
Azerbaijan,0.0,4.64
SanMarino,,4.46153846154
Italy,3.5,4.54166666667
Australia,,4.46153846154
